,city,voivodeship,Name,Population,Latitude,Longitude
342,zabno,Małopolskie,Żabno,4223.0,50.1335155,20.885925699999998
343,bialobrzegi,Mazowieckie,Białobrzegi,7132.0,51.6482305,20.949745800000002
344,bialobrzegi,Podkarpackie,Białobrzegi,7132.0,51.6482305,20.949745800000002
345,brwinow,Mazowieckie,Brwinów,13090.0,52.1425551,20.7170701
346,blonie,Mazowieckie,Błonie,12570.0,52.1946065,20.6169694
347,ciechanow,Mazowieckie,Ciechanów,44797.0,52.881979799999996,20.619147899999998
348,garwolin,Mazowieckie,Garwolin,17060.0,51.8973315,21.6149645
349,gostynin,Mazowieckie,Gostynin,19092.0,52.428760700000005,19.4612956
350,grodzisk-mazowiecki,Mazowieckie,Grodzisk Mazowiecki,29907.0,52.1066223,20.631344100000003
351,gora-kalwaria,Mazowieckie,Góra Kalwaria,11454.0,51.9843765,21.214022600000003
352,halinow,Mazowieckie,Halinów,3707.0,52.225857500000004,21.3529522
353,ilza,Mazowieckie,Iłża,5054.0,51.1624174,21.2374622
354,karczew,Mazowieckie,Karczew,10160.0,52.0782795,21.2508068
355,kobylka,Mazowieckie,Kobyłka,20855.0,52.338708600000004,21.1965315
356,konstancin-jeziorna,Mazowieckie,Konstancin-Jeziorna,17566.0,52.0834787,21.1208073
357,kozienice,Mazowieckie,Kozienice,18277.0,51.584967799999994,21.549882999999998
358,legionowo,Mazowieckie,Legionowo,54231.0,52.395228499999995,20.930830899999997
359,lipsko,Mazowieckie,Lipsko,5816.0,51.158513,21.6490099
360,makow-mazowiecki,Mazowieckie,Maków Mazowiecki,10118.0,52.865678,21.101224
361,marki,Mazowieckie,Marki,29032.0,52.325461100000005,21.1054691
362,milanowek,Mazowieckie,Milanówek,16410.0,52.1266493,20.6641191
363,minsk-mazowiecki,Mazowieckie,Mińsk Mazowiecki,39880.0,52.181149600000005,21.5585859
364,mszczonow,Mazowieckie,Mszczonów,6460.0,51.9740309,20.5126683
365,mlawa,Mazowieckie,Mława,30880.0,53.1116182,20.383173199999998
366,nasielsk,Mazowieckie,Nasielsk,7222.0,52.586753099999996,20.813011499999998
367,nowy-dwor-mazowiecki,Mazowieckie,Nowy Dwór Mazowiecki,28287.0,52.43065079999999,20.7154712
368,ostroleka,Mazowieckie,Ostrołęka,52917.0,53.0843135,21.5668607
369,ostrow-mazowiecka,Mazowieckie,Ostrów Mazowiecka,22796.0,52.8000429,21.897638
370,otwock,Mazowieckie,Otwock,45044.0,52.104119700000005,21.2681092
371,ozarow-mazowiecki,Mazowieckie,Ożarów Mazowiecki,10735.0,52.20805479999999,20.7941606
372,piaseczno,Mazowieckie,Piaseczno,44880.0,52.07473770000001,21.0270885
373,piastow,Mazowieckie,Piastów,22907.0,52.181255900000004,20.8415937
374,pionki,Mazowieckie,Pionki,19382.0,51.4730031,21.4438404
375,pruszkow,Mazowieckie,Pruszków,59570.0,52.1626141,20.808019899999998
376,przasnysz,Mazowieckie,Przasnysz,17326.0,53.019021900000006,20.880402800000002
377,przysucha,Mazowieckie,Przysucha,6008.0,51.35850429999999,20.6285468
378,pultusk,Mazowieckie,Pułtusk,19240.0,52.705110899999994,21.084027399999997
379,plock,Mazowieckie,Płock,122815.0,52.5464521,19.700860600000002
380,plonsk,Mazowieckie,Płońsk,22494.0,52.62266170000001,20.370509100000003
381,radom,Mazowieckie,Radom,218466.0,51.402255700000005,21.154154600000002
382,radzymin,Mazowieckie,Radzymin,11378.0,52.4176347,21.1807836
383,serock,Mazowieckie,Serock,4130.0,52.5135193,21.073116199999998
384,siedlce,Mazowieckie,Siedlce,77102.0,52.166375099999996,22.2765138
385,sierpc,Mazowieckie,Sierpc,18742.0,52.852905500000006,19.667543300000002
386,sochaczew,Mazowieckie,Sochaczew,37480.0,52.2296562,20.2379379
387,sokolow-podlaski,Mazowieckie,Sokołów Podlaski,18781.0,52.4081717,22.2525679
388,sulejowek,Mazowieckie,Sulejówek,19311.0,52.246799200000005,21.282523
389,szydlowiec,Mazowieckie,Szydłowiec,11907.0,51.2238922,20.8575141
390,tarczyn,Mazowieckie,Tarczyn,3869.0,51.9802935,20.833961300000002
391,tluszcz,Mazowieckie,Tłuszcz,8056.0,52.43016970000001,21.4355074
392,warka,Mazowieckie,Warka,11727.0,51.7850969,21.183383499999998
393,warszawa,Mazowieckie,Warszawa,1744351.0,52.2319581,21.0067249
394,wolomin,Mazowieckie,Wołomin,37298.0,52.346868900000004,21.242017899999997
395,wyszkow,Mazowieckie,Wyszków,27222.0,52.5928035,21.4584581
396,wegrow,Mazowieckie,Węgrów,12796.0,52.398923100000005,22.0174472
397,zakroczym,Mazowieckie,Zakroczym,3241.0,52.4333534,20.6116771
398,zwolen,Mazowieckie,Zwoleń,8112.0,51.3564745,21.5844652
399,zabki,Mazowieckie,Ząbki,31884.0,52.2934961,21.1157408
400,laskarzew,Mazowieckie,Łaskarzew,4893.0,51.7889644,21.5921883
401,lochow,Mazowieckie,Łochów,6842.0,52.53041999999999,21.68528
402,lomianki,Mazowieckie,Łomianki,16639.0,52.335527299999995,20.895012
403,losice,Mazowieckie,Łosice,7085.0,52.211513399999994,22.717294
404,zuromin,Mazowieckie,Żuromin,8987.0,53.0671703,19.9078353
405,zyrardow,Mazowieckie,Żyrardów,41096.0,52.054330799999995,20.4435009
406,brzeg,Opolskie,Brzeg,36980.0,50.861488200000004,17.470497
407,byczyna,Opolskie,Byczyna,3714.0,51.1142355,18.2143288
408,dobrodzien,Opolskie,Dobrodzień,3752.0,50.7288597,18.444336
409,gogolin,Opolskie,Gogolin,6565.0,50.492510700000004,18.017619699999997
410,gorzow-slaski,Opolskie,Gorzów Śląski,2532.0,51.028155100000006,18.4222682
411,grodkow_133901,Opolskie,Grodków,8746.0,50.698157,17.384980399999996
412,glogowek,Opolskie,Głogówek,5755.0,50.353437299999996,17.8619329
413,glubczyce,Opolskie,Głubczyce,12888.0,50.2000941,17.829319899999998
414,glucholazy,Opolskie,Głuchołazy,14257.0,50.3170828,17.3833809
415,kietrz,Opolskie,Kietrz,6267.0,50.0796271,18.0021082
416,kluczbork,Opolskie,Kluczbork,24544.0,50.9730701,18.214008899999996
417,kolonowskie,Opolskie,Kolonowskie,3343.0,50.652857399999995,18.383107100000004
418,korfantow,Opolskie,Korfantów,1855.0,50.4879782,17.598418399999996
419,krapkowice,Opolskie,Krapkowice,16721.0,50.47474129999999,17.9675262
420,kedzierzyn-kozle,Opolskie,Kędzierzyn-Koźle,63194.0,50.3448836,18.210959399999997
421,lewin-brzeski,Opolskie,Lewin Brzeski,6007.0,50.7495823,17.6188526
422,lesnica,Opolskie,Leśnica,2672.0,50.4285562,18.184992899999997
423,namyslow,Opolskie,Namysłów,16123.0,51.076625799999995,17.718561899999997
424,niemodlin,Opolskie,Niemodlin,6623.0,50.6415925,17.6211388
425,nysa,Opolskie,Nysa,44899.0,50.473802899999995,17.3324733
426,olesno,Opolskie,Olesno,9597.0,50.8766575,18.4219452
427,opole,Opolskie,Opole,120146.0,50.666818400000004,17.9236408
428,otmuchow,Opolskie,Otmuchów,5068.0,50.465351,17.1730499
429,ozimek,Opolskie,Ozimek,8959.0,50.6789196,18.212522699999997
430,paczkow,Opolskie,Paczków,7464.0,50.4636773,17.005768300000003
431,praszka,Opolskie,Praszka,7944.0,51.05536,18.4485221
432,prudnik,Opolskie,Prudnik,21778.0,50.321721200000006,17.580104100000003
433,proszkow_14379,Opolskie,Prószków,2684.0,50.5786696,17.8699852
434,strzelce-opolskie,Opolskie,Strzelce Opolskie,18451.0,50.5109033,18.3004547
435,tulowice,Opolskie,Tułowice,4290.0,50.5954195,17.6533063
436,wolczyn,Opolskie,Wołczyn,5986.0,51.019025299999996,18.049603
437,zawadzkie,Opolskie,Zawadzkie,7605.0,50.6065834,18.480128399999998
438,zdzieszowice,Opolskie,Zdzieszowice,11978.0,50.4202928,18.1193187
439,boguchwala,Podkarpackie,Boguchwała,6030.0,49.9806882,21.939182199999998
440,brzostek,Podkarpackie,Brzostek,2597.0,49.878469700000004,21.411865
